1	ક્યહું	ક્યહું & ક્ય-હું	2
1	હિડિંબા	હિડિંબા & હિ-ડિં-બા	2
1	વિવેચાવવું	વિ-વે-ચાવ-વું & વિ-વે-ચાવ-વું	2
1	આંતરજન્ય	આં-તરજન્-ય & આં-તર-જન્-ય	2
1	આચારનિષ્ઠ	આ-ચારનિષ્ઠ & આ-ચા-ર-નિષ્-ઠ	2
1	અર્થિત	અર્થિત & અર્-થિત	2
1	અગરિયેણ	અ-ગ-રિ-યેણ & અ-ગ-રિ-યેણ	2
1	નરખવું	નરખ-વું & ન-રખ-વું	2
1	અટોપ	અટોપ & અ-ટો-પ	2
1	સંજમી	સં-જ-મી & સં-જ-મી	2
1	કાંક્ષિણી	કાંક્ષિણી & કાંક્-ષિ-ણી	2
1	સોઈયો	સો-ઈયો & સો-ઈ-યો	2
1	આજથી	આજથી & આ-જ-થી	2
1	ઓથવું	ઓ-થ-વું & ઓથ-વું	2
1	મંડળિક	મંડળિક & મં-ડ-ળિક	2
1	પેણ	પેણ & પે-ણ	2
1	પેસ્તર	પે-સ્-તર & પેસ્-તર	2
1	આલોચક	આલો-ચક & આ-લો-ચ-ક	2
1	સંઘેડાઉતાર	સં-ઘે-ડાઉ-તાર & સં-ઘે-ડા-ઉ-તા-ર	2
1	કર્માચરણ	કર્-માચરણ & કર્-મા-ચ-ર-ણ	2
1	અસ્તિસદ્વાદી	અસ્તિસદ્વાદી & અસ્-તિ-સ-દ્-વા-દી	2
1	ઉદ્દીપક	ઉદ્-દીપક & ઉદ્-દી-પ-ક	2
1	અડીદીઠ	અડીદીઠ & અ-ડી-દી-ઠ	2
1	સાનુ	સા-નુ & સા-નુ	2
1	તંબોળિયું	તં-બોળિ-યું & તં-બો-ળિ-યું	2
1	પ્રતિપાદિની	પ્ર-તિપાદિ-ની & પ્ર-તિ-પા-દિ-ની	2
1	આક્રમ	આક્રમ & આક્ર-મ	2
1	કીર્ત્તનકાર	કીર્-ત્-તન-કાર & કીર્ત્તન-કાર	2
1	પ્રકૃતિવિન્યાસ	પ્ર-કૃ-તિવિન્યાસ & પ્ર-કૃ-તિ-વિન્-યા-સ	2
1	સૂક્તિ	સૂક્તિ & સૂક્-તિ	2
1	કેંદ્રિત	કેંદ્રિત & કેં-દ્રિ-ત	2
1	નરાંગના	નરાંગના & ન-રાંગ-ના	2
1	કલહપ્રિય	કલહપ્રિ-ય & ક-લ-હપ્-રિ-ય	2
1	લોકોપયોગિતા	લો-કોપ-યો-ગિતા & લો-કોપ-યો-ગિ-તા	2
1	સીવણકામ	સીવણ-કામ & સી-વણ-કા-મ	2
1	આરોહવું	આ-રોહ-વું & આ-રોહ-વું	2
1	અનાશ્રમી	અ-નાશ્ર-મી & અ-ના-શ્ર-મી	2
1	ટાપશી	ટાપ-શી & ટા-પ-શી	2
1	રખેળાવું	ર-ખેળા-વું & ર-ખે-ળા-વું	2
1	રૅલી	રૅલી & રૅ-લી	2
1	અજવલો	અજવ-લો & અ-જવ-લો	2
1	નીપટાવું	ની-પ-ટા-વું & ની-પ-ટા-વું	2
1	હલાહળ	હ-લાહળ & હ-લા-હળ	2
1	સિક્યૉરિટી	સિક્યૉરિટી & સિક્-યૉ-રિ-ટી	2
1	બચકારાવું	બચ-કારા-વું & બચ-કા-રા-વું	2
1	રંચક	રંચક & રં-ચક	2
1	સાંગર	સાંગર & સાં-ગર	2
1	સુખસંગી	સુ-ખસં-ગી & સુ-ખ-સં-ગી	2
1	કિલકિલકાર	કિ-લ-કિલ-કાર & કિ-લ-કિલ-કાર	2
1	અંબષ્ઠ	અંબષ્ઠ & અં-બષ્-ઠ	2
1	આયોજનાયોજના	આ-યો-જ-નાયો-જ-ના & આ-યો-જ-ના-યો-જ-ના	2
1	આગરેણ્ય	આગ-રેણ્-ય & આ-ગ-રેણ્ય	2
1	ક્રૂઝેડો	ક્રૂઝેડો & ક્-રૂ-ઝે-ડો	2
1	દેશભાઈ	દેશભા-ઈ & દેશ-ભા-ઈ	2
1	અબરી	અ-બરી & અ-બ-રી	2
1	તમાશબીની	ત-માશબીની & ત-માશ-બી-ની	2
1	ઢાંચલું	ઢાં-ચ-લું & ઢાં-ચ-લું	2
1	ઝઘડોટંટો	ઝઘ-ડોટં-ટો & ઝઘ-ડો-ટં-ટો	2
1	વાસ્તુદેવતા	વાસ્-તુ-દેવ-તા & વાસ્-તુ-દે-વ-તા	2
1	પોતનીસ	પોત-નીસ & પો-ત-ની-સ	2
1	ચુનંદું	ચુનંદું & ચુ-નં-દું	2
1	રેત	રેત & રે-ત	2
1	સોળભત્તું	સોળભત્તું & સોળ-ભત્-તું	2
1	રીર	રીર & રીર	2
1	હિબ્રુ	હિબ્રુ & હિબ્-રુ	2
1	ત્રાકઘર	ત્રાકઘર & ત્-રા-ક-ઘર	2
1	માનમર્યાદા	માનમર્-યા-દા & મા-ન-મર્-યા-દા	2
1	ગજાહીણ	ગજાહીણ & ગ-જા-હી-ણ	2
1	ભયપ્રીતિ	ભયપ્રીતિ & ભયપ્-રી-તિ	2
1	જાવકબારનીશી	જાવક-બારની-શી & જા-વક-બાર-ની-શી	2
1	હેમલતા	હેમલતા & હે-મલ-તા	2
1	તખ્તી	તખ્તી & તખ્-તી	2
1	સ્ફુરવું	સ્-ફુર-વું & સ્-ફુર-વું	2
1	ઘાસચારો	ઘાસચા-રો & ઘાસ-ચા-રો	2
1	રાજપુત્રી	રાજપુત્રી & રાજ-પુત્-રી	2
1	કપિરાજ	કપિરાજ & ક-પિ-રા-જ	2
1	ફરેબ	ફ-રેબ & ફ-રે-બ	2
1	ઘોરી	ઘોરી & ઘો-રી	2
1	પ્રતિગ્રહ	પ્ર-તિ-ગ્રહ & પ્ર-તિ-ગ્ર-હ	2
1	બચબચ	બચબચ & બ-ચ-બ-ચ	2
1	નગારખાનું	નગાર-ખા-નું & ન-ગાર-ખા-નું	2
1	અપશુકનિયું	અપશુકનિયું & અપ-શુ-ક-નિ-યું	2
1	અદુષ્ટતા	અદુષ્-ટતા & અ-દુષ્ટ-તા	2
1	પેટગુજારો	પેટ-ગુજા-રો & પેટ-ગુ-જા-રો	2
1	પ્રત્યાશી	પ્રત્યા-શી & પ્-રત્-યા-શી	2
1	અંતર્વ્યવસ્થા	અં-તર્વ્યવસ્થા & અં-તર્વ્ય-વસ્-થા	2
1	ફૂ	ફૂ & ફૂ	2
1	બેલડું	બેલડું & બેલ-ડું	2
1	મંદ્રમધ્ય	મં-દ્રમધ્-ય & મં-દ્ર-મધ્ય	2
1	ભંગિયણ	ભંગિયણ & ભં-ગિ-યણ	2
1	બદલિયું	બદ-લિ-યું & બ-દ-લિ-યું	2
1	ગૂડકી	ગૂ-ડ-કી & ગૂડ-કી	2
1	અશ્મરી	અશ્-મ-રી & અશ્મ-રી	2
1	ગંગચીલ	ગંગચીલ & ગં-ગ-ચીલ	2
1	હર્ષામર્ષ	હર્-ષામર્ષ & હર્-ષા-મર્-ષ	2
1	ઉંદરડો	ઉં-દર-ડો & ઉં-દર-ડો	2
1	રાયણું	રા-ય-ણું & રાય-ણું	2
1	અવચ્છેદન	અવચ્-છેદન & અ-વચ્-છે-દન	2
1	કણવીર	કણવીર & કણ-વીર	2
1	શેખાઈ	શેખાઈ & શે-ખા-ઈ	2
1	તાજિયો	તાજિયો & તા-જિ-યો	2
